id,code,description,name
apsc-202,APSC 202,"Written and oral communication in business correspondence, engineering design methods, report preparation, and oral presentations of technical material. Restricted to students in second year of the Engineering Physics Program. [2-0-1] Prerequisite: One of APSC 176, ENGL 110, ENGL 111, ENGL 112, ENGL 120, ENGL 121. Corequisite: ENPH 259. Not eligible for Credit/D/Fail grading.",Technical Communication Engineering Physics I
apsc-203,APSC 203,"Continuation of written and oral communication in business correspondence, engineering design methods, report preparation and oral presentations of technical material. Restricted to students in second year of the Engineering Physics Program. [1-0-0] Prerequisite: APSC 202. Corequisite: ENPH 253. Not eligible for Credit/D/Fail grading.",Technical Communication Engineering Physics II
apsc-261,APSC 261,"The influence of technology on the social, political, economic, and environmental aspects of society. Subjects vary yearly (e.g., resources, energy, nuclear power, effects of technology on family, education, agriculture, international policy). [3-0-0]",Technology and Society I
apsc-262,APSC 262,"Continuation of APSC 261 or independent study of topics such as pollution, workplace health hazards, social impact of computers, problem solving, green revolution, technology in the third world, engineering ethics. [3-0-0] Not eligible for Credit/D/Fail grading.",Technology and Society II
apsc-263,APSC 263,"Environmental, economic, political, and social aspects of appropriate technologies in the developing world. Topics include infrastructure, trade and finance, transportation, energy, water access, communication, health, and gender. [3-0-0] Not eligible for Credit/D/Fail grading.",Technology and Development
apsc-278,APSC 278,"Atomic bonding; crystal structures and imperfections; properties of metals, ceramics, polymers, wood, concrete and fibre composite materials; selection of materials; corrosion; mechanical testing and heat treatment. [3-0-0] Not eligible for Credit/D/Fail grading.",Engineering Materials
apsc-279,APSC 279,"Laboratory component for APSC 278. Topics include atomic bonding; crystal structures and imperfections; material properties; selection, corrosion, and testing. [0-2*-0] Corequisite: APSC 278 may be taken. Not eligible for Credit/D/Fail grading.",Engineering Materials Laboratory
apsc-331,APSC 331,Intermediate-level engineering design project involving material in the curriculum of the Integrated Engineering program. For students in the Co-operative Education Program. [1-4-0] Not eligible for Credit/D/Fail grading.,Intermediate Engineering Design I
apsc-332,APSC 332,Continuation of APSC 331. Intermediate-level engineering design project for students in the Co-operative Education Program. [1-4-0] Prerequisite: APSC 331. Not eligible for Credit/D/Fail grading.,Intermediate Engineering Design II
apsc-364,APSC 364,"The role and function of common infrastructures, and the impact of various technological solutions on people, the economy, and the environment. Prerequisite: Third-year standing. Not eligible for Credit/D/Fail grading.",Applied Sustainability: UBC as a Living Laboratory
apsc-366,APSC 366,"An introduction to engineering for the non-specialist. A case-studies approach includes examples from sustainability-related technology, consumer products, structures, and energy conversion. [3-0-1]",The Art of the Possible: An Introduction to Engineering for Non-Engineers
apsc-367,APSC 367,"Interdisciplinary study of best practices, politics, and ethics of technical solutions to humanitarian assistance in Canada and abroad. Examines policies in aid and development contexts with emphasis on engineering applications. [3-0-0] Prerequisite: Restricted to students in Political Science, International Relations, or 3rd-year BASc. Credit granted for only one of POLI 371 or APSC 367. Equivalency: POLI 371. Not eligible for Credit/D/Fail grading.",Humanitarian Engineering: Politics and Practice
apsc-377,APSC 377,Evolution and contemporary significance of nuclear weapons and arms control policy and technology from scientific and humanities perspectives. Recommended prerequisite: third-year standing in BA/BSc or second-year in BASc. Credit granted for only one of APSC 377 or POLI 377. Equivalency: POLI 377.,Nuclear Weapons and Arms Control
apsc-380,APSC 380,"Introductory course for microcomputer applications in real-time or non-computational engineering. Topics: hardware, programming, input-output devices, transducers, analog/digital converters, case studies (e.g., digital controllers, sensor-based systems). [2-3*-2*] Restricted to non-Electrical/Computer Engineering students. Not eligible for Credit/D/Fail grading.",Introduction to Microcomputers
apsc-383,APSC 383,"Systematic approach and use of tools for prototyping. Integration of software, electronics, and physical components for innovation, product development, market identification, and problem solving. [3-0-0] Not eligible for Credit/D/Fail grading.",Prototyping
apsc-402,APSC 402,"Multi-disciplinary course examining and applying subject-specific knowledge through the lens of language and language sciences, focusing on themes of real-world importance. [3-0-0] Prerequisite: Fourth-year standing or instructor permission. Equivalency: ASTU402, FRST402, LFS 402, LLED402, PHAR402. Not eligible for Credit/D/Fail grading.",Living Language: Science and Society
apsc-440,APSC 440,"Management topics for technology-based industries: project management, marketing planning, product development and commercialization, quality management, teamwork. [3-0-0] Prerequisite: Fourth-year standing in Engineering. Not eligible for Credit/D/Fail grading.",Management Fundamentals for Technology-Based Product Marketing and Development
apsc-450,APSC 450,"Legislation affecting engineering practice; ethical principles and responsibilities. Management of engineering enterprises, labour relations, safety, and environmental legislation. Restricted to final-year engineering undergraduates. [2-0-0] Not eligible for Credit/D/Fail grading.",Professional Engineering Practice
apsc-461,APSC 461,"Introduction to engineering leadership concepts, theory, and practice: individual and cultural differences, service and management contexts, change management, conflict resolution, ethics, and core values. [3-0-0] Prerequisite: Completion of third year. Not eligible for Credit/D/Fail grading.",Global Engineering Leadership
apsc-462,APSC 462,International service learning (ISL) placement applying engineering leadership concepts by collaborating with community organizations on appropriate technology projects. Prerequisite: APSC 461 and registration with Go Global ISL program. Not eligible for Credit/D/Fail grading.,Global Engineering Leadership Practicum
apsc-486,APSC 486,"Teams (APSC 486 and COMM 466) create a business plan and prototype or engineering solution for a novel product, process, or component. [1-4-0; 1-4-0] Not eligible for Credit/D/Fail grading.",New Venture Design
biol-111,BIOL 111,"Concepts fundamental to biological issues, such as the genetic basis of biological variation, evolution, infectious diseases, causes of cancer, population growth, and human effects on ecosystems. Not open to students who have credit for Biology 12 (including AP, IB). [3-0-0]",Introduction to Modern Biology
biol-112,BIOL 112,"The principles of cellular and molecular biology using bacterial and eukaryotic examples. [3-0-0] Prerequisite: One of CHEM 12, CHEM 100, CHEM 110, CHEM 111 and one of BIOL 11, BIOL 12, BIOL 111.",Biology of the Cell
biol-121,BIOL 121,"Principles of storage and transmission of genetic variation; origin and evolution of species and their ecological interactions. Credit will be granted for only one of BIOL 121 or BIOL 344. [3-0-0] Prerequisite: One of BIOL 11, BIOL 12, BIOL 111.","Genetics, Evolution and Ecology"
biol-140,BIOL 140,"Guided experimental investigations of biological questions. [1-2-0] Prerequisite: One of BIOL 11, BIOL 12, BIOL 111.",Laboratory Investigations in Life Science
biol-153,BIOL 153,"The principles of biology with particular reference to the human body (anatomy and physiology). Laboratories include selected experiments on organ physiology and general anatomy. Please consult the Faculty of Science Credit Exclusion Lists. [3-3-0; 3-3-0] Prerequisite: One of CHEM 12, CHEM 100, CHEM 110, CHEM 111 and one of BIOL 11, BIOL 12, BIOL 111. Not eligible for Credit/D/Fail grading.",Human Biology: Anatomy and Physiology
biol-155,BIOL 155,"The principles of biology with particular reference to the human body (anatomy and physiology). (physiology and introductory anatomy). Please consult the Faculty of Science Credit Exclusion Lists. [3-0-0; 3-0-0] Prerequisite: One of CHEM 12, CHEM 100, CHEM 110, CHEM 111 and one of BIOL 11, BIOL 12, BIOL 111.",Human Biology: Physiology and Introductory Anatomy
biol-180,BIOL 180,"Science as a process, the skills of scientists, and the exploration of a current biological challenge with a practicing UBC scientist. [2-0-1] Prerequisite: One of BIOL 11, BIOL 12, BIOL 111.",Thinking Like a Life Scientist
biol-200,BIOL 200,"Structure and function of plant and animal cells; membrane models, cytoplasmic organelles, biological information from gene to protein, the endomembrane system, secretion, intracellular digestion, endocytosis, transport processes, cytoskeleton and cell motility. [3-0-1] Prerequisite: Either (a) BIOL 112 and one of CHEM 123, CHEM 130; or (b) SCIE 001; or (c) 8 transfer credits of first-year BIOL and 6 credits of first-year CHEM; or (d) one of BIOL 112 or BIOL 121 and a corequisite of one of CHEM 203 or CHEM 223.",Fundamentals of Cell Biology
biol-201,BIOL 201,"Biological molecules, protein structure and enzyme action, energy transfer, central metabolic pathways and their regulation. Examples drawn from plants, animals and microorganisms. Credit will be granted for only one of BIOL 201, BIOC 202, or BIOC 203. [3-0-1] Prerequisite: BIOL 200 and one of CHEM 233, CHEM 260; or BIOL 200 and a corequisite of CHEM 213; or a corequisite of either CHEM 313 or CHEM 330.",Introduction to Biochemistry
biol-203,BIOL 203,"Introduction to the origin and diversity of protists (protozoa and algae) at both cellular and genomic levels, including the role of endosymbiosis in evolution. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology.",Eukaryotic Microbiology
biol-204,BIOL 204,"Introduction to the vertebrate phyla and their evolution; a comparative study of vertebrate structure and function, with dissection of representative forms. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology.",Vertebrate Structure and Function
biol-205,BIOL 205,"An introduction to the unity, diversity and evolutionary history of invertebrates. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology.",Comparative Invertebrate Zoology
biol-209,BIOL 209,"Diversity, ecology, cell biology and evolutionary origins of multicellular eukaryotes, illustrated through mosses and liverworts; fungi and slime molds; and fresh water and marine algae. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology.","Biodiversity of Algae, Fungi and Bryophytes"
biol-210,BIOL 210,"A comparative study of pteridophytes, gymnosperms and angiosperms, integrating form, function and ecology. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. or 8 transfer credits of first-year biology. Equivalency: APBI 210",Vascular Plants
biol-230,BIOL 230,"Dynamics of plant and animal populations, structure of ecological communities and functioning of ecosystems. Interpretation of research results and application to environmental issues. Labs meet once a month. [3-3*-0] Prerequisite: One of BIOL 121, SCIE 001 or 8 transfer credits of first-year BIOL.",Fundamentals of Ecology
biol-233,BIOL 233,"How genetic differences determine individual characteristics, and how they are inherited, analyzed, and modified. Emphasis on genetic diversity, human ancestry, personal genomics, and cancer genetics. [3-0-2] Prerequisite: Either (a) all of BIOL 112, BIOL 121; (b) SCIE 001; or (c) a corequisite of one of CHEM 203 or CHEM 223 and one of BIOL 112 or BIOL 121.",Genetics for Life
biol-234,BIOL 234,"Genotype and phenotype, mechanisms of inheritance, genetic analysis. [3-0-2] Prerequisite: Either (a) all of BIOL 112, BIOL 121; (b) SCIE 001; (c) a corequisite of one of CHEM 203 or CHEM 223 and one of BIOL 112 or BIOL 121; or (d) 8 transfer credits of first-year BIOL.",Fundamentals of Genetics
biol-260,BIOL 260,"Principles of cellular and organismal physiology illustrated with examples from unicellular organisms, plants and animals, focusing on transport processes, water balance, nutrient acquisition and communication. [3-0-0] Prerequisite: Either (a) all of BIOL 112, BIOL 121; (b) SCIE 001; or (c) 8 transfer credits of 1st year BIOL and 6 credits of 1st year chemistry.",Fundamentals of Physiology
biol-300,BIOL 300,"Statistical procedures for biological research; estimation, hypothesis testing, goodness of fit, analysis of variance and regression; use of computers for statistical analysis. [3-2-0] Prerequisite: One of BIOL 121, SCIE 001. Corequisite: One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001.",Fundamentals of Biostatistics
biol-301,BIOL 301,"Introduction to uses of mathematics in the biological sciences; experimental design and modelling of biological processes. Recommended co-requisites: one of BIOL 300, STAT 200. [3-0-2]",Biomathematics
biol-302,BIOL 302,"Effects of biodiversity on human health, from human microbiome to ecosystem. Strategies for protecting, restoring and managing for biodiversity, human and planetary health. [3-0-1] Prerequisite: One of BIOL 111, BIOL 121, GEOS 207, SCIE 001 and third-year class standing.","Biodiversity, Human & Planetary Health"
biol-303,BIOL 303,"Biological, cultural, and societal significance of staple crops selected as foods, medicines or raw materials by different societies, and their pivotal role in the rise and fall of past and present civilizations. [3-0-1] Prerequisite: A minimum of 3rd year standing.",Green Planet: Biology and History of Plants that Changed Civilizations
biol-306,BIOL 306,"Ecology of populations, communities and ecosystems. Tests of ecological theory with experiments and application to environmental issues. Labs meet once a month. [3-3*-0] Prerequisite: BIOL 230.",Advanced Ecology
biol-310,BIOL 310,Animal behavior from an ecological and evolutionary perspective; the methods used to study behaviour and test its adaptive significance. [3-0-2] Prerequisite: BIOL 121. Third-year standing required.,Introduction to Animal Behaviour
biol-311,BIOL 311,"Designing, conducting, and analyzing studies of animal behaviour, with an emphasis on field-based methods. Students conduct capstone research projects. [1-4-0] Prerequisite: One of BIOL 300, STAT 200. Corequisite: BIOL 310.",Experimental Methods in Animal Behaviour
biol-314,BIOL 314,"The units of biodiversity, from genes to ecosystems, how they are structured in space, and their importance to human well-being and ecosystem health. [3-0-0] Prerequisite: One of APBI 260, BIOL 230, FRST 201, GEOB 207, GEOS 207. Equivalency: CONS 314",Elements of Biodiversity
biol-317,BIOL 317,"Importance, identification, dissemination and biology of weeds; preventative, cultural, biological and chemical methods of control. [3-2-0] Equivalency: APBI328",Weed Science
biol-320,BIOL 320,"A survey of the algae, considering their morphology, life history, classification, and ecology. [3-3-0] Prerequisite: BIOL 121",Survey of Algae
biol-321,BIOL 321,"A study of evolution, taxonomy and morphology of mosses, liverworts and hornworts with emphasis on living plants in their environment. [2-4-0] Prerequisite: BIOL 121",Morphology and Evolution of Bryophytes
biol-322,BIOL 322,"Anatomy, morphology and relationships of the ferns and fern-allies, with assessment of both fossil and extant taxa. [2-4-0] Prerequisite: BIOL 121",Structure and Evolution of Ferns and Fern-allies
biol-323,BIOL 323,The evolutionary diversity of the fungi as shown by their morphology and reproductive biology. [2-3-0] Prerequisite: BIOL 121,Structure and Reproduction of Fungi
biol-324,BIOL 324,Introduction to seed plant taxonomy emphasizing descriptive morphology and identification. Each student will be required to submit a plant collection. [2-3-0] Prerequisite: BIOL 121. Equivalency: APBI 324,Introduction to Seed Plant Taxonomy
biol-325,BIOL 325,"Comparative aspects of the functional design of skeletal systems and the mechanics of swimming, flying and terrestrial locomotion, with particular reference to the vertebrates. [3-0-0] Prerequisite: BIOL 121",Introduction to Animal Mechanics and Locomotion
biol-326,BIOL 326,Behaviour and ecology of invertebrates as revealed by hands-on experiments in the laboratory and field. Marine emphasis. [1-4-0] Prerequisite: BIOL 205. Corequisite: Either (a) STAT 200 or (b) BIOL 300.,Experimental Biology of Invertebrates
biol-327,BIOL 327,"A survey of the structure, classification and biology of insects; ecology, life-histories and insect-plant relations. Prerequisite: One of BIOL 121, SCIE 001. Equivalency: APBI 327",Introduction to Entomology
biol-328,BIOL 328,"Morphology, life histories, ecology and evolution of parasites (and infectious agents more broadly) infecting humans and animals. [2-3-0] Prerequisite: BIOL 121",Ecology and Evolution of Parasites
biol-329,BIOL 329,"How cells react to external signals, and how these responses are regulated. Experimental approaches and common themes will be examined using a variety of cell receptors as models. [3-0-0] Prerequisite: BIOL 200. Not eligible for Credit/D/Fail grading.","Cell Receptor Signaling, Communication and Regulation"
biol-330,BIOL 330,"Animal development and its underlying causal principles; introductory embryology. [3-0-0] Prerequisite: Either (a) BIOL 201 or (b) all of BIOL 200, BIOL 260 and one of BIOL 233, BIOL 234.",Developmental Biology (Lecture)
biol-331,BIOL 331,"Animal development and its underlying causal principles; introductory embryology. [3-5-0] Prerequisite: Either (a) BIOL 201 or (b) all of BIOL 200, BIOL 260 and one of BIOL 233, BIOL 234.",Developmental Biology
biol-332,BIOL 332,"Cell biology, ecology, and evolution of protists; origins of multicellularity; the role of protists in micropaleontology, parasitology, and oceanography. [3-3-0] Prerequisite: BIOL 200",Protistology
biol-335,BIOL 335,"Isolation and identification of genes, analysis of gene structure; gene expression and its regulation in prokaryotes and in eukaryotes; developmental genetics. [3-0-2] Prerequisite: One of BIOL 233, BIOL 234, MICB 322, FRST 302.",Molecular Genetics
biol-336,BIOL 336,"Natural selection; population genetics, quantitative genetics and systematics; classical and molecular approaches to the study of evolution. [3-0-2] Prerequisite: One of BIOL 233, BIOL 234.",Fundamentals of Evolutionary Biology
biol-337,BIOL 337,"A laboratory course demonstrating the fundamental principles of inheritance: Mendel's Laws, sex-linkage, mapping, mutagenesis, chromosome structure, developmental biology, biochemical and population genetics. [1-4-0] Prerequisite: BIOL 200. Corequisite: One of BIOL 233, BIOL 234.",Introductory Genetics Laboratory
biol-338,BIOL 338,"An introduction to genome biology and applications of genomics. [3-0-1.5] Prerequisite: One of BIOL 234, BIOL 233, FRST 302.",Introduction to Genomics
biol-340,BIOL 340,"Designing and conducting cell biology experiments using unicellular eukaryotes or prokaryotes with emphasis on techniques in microscopy and cell biology. [1-6-0] Prerequisite: BIOL 200 and at least 3rd-year standing in Science and one of (a) BIOL 180 (or BIOL 140), (b) SCIE 001, or (c) 3rd-year standing in Combined Honours Biophysics.",Introductory Cell Biology Laboratory
biol-341,BIOL 341,Designing and conducting molecular biology experiments using bioinformatics recombinant DNA techniques. [1-5-0] Prerequisite: BIOL 200. And at least third-year standing in Science.,Introductory Molecular Biology Laboratory
biol-342,BIOL 342,"Field-based and laboratory-based investigation of organisms. [1-3-0] Prerequisite: Third-year standing or higher in Combined Major in Science, and one of (a) BIOL 121 and BIOL 180 (or BIOL 140), (b) SCIE 001, or (c) 8 transfer credits of first-year biology.",Integrative Biology Laboratory
biol-343,BIOL 343,"The interactions of plants and human societies: the role of people in the origin, evolution and dispersal of food, drug and economic plants, and the influences of plants on human societies. Suitable for upper-level Arts students. [2-2-1]",Plants and Peoples
biol-344,BIOL 344,Relates genetic and evolutionary concepts to humans. Primarily for upper-level students in the Faculty of Arts. Credit will be granted for only one of BIOL 121 or BIOL 344. Not open to students in the Life Sciences. [3-0-2],Human Heredity and Evolution
biol-345,BIOL 345,"Basics of ecology are introduced, focussing on observations of the natural world. Assignments, including a group project, consider connections between research, awareness and practical uses of ecology. Not for credit in the Life Sciences. [3-0-2]",Human Ecology
biol-346,BIOL 346,An elementary course in molecular biology primarily for Arts students. The historical development of recent discoveries in molecular biology with emphasis on bacteria and viruses and their interaction with humans. Not for credit in Life Sciences. [3-0-0],Microbes and Society
biol-347,BIOL 347,Contemporary research in the Botany and Zoology Departments; history and methodology of scientific discovery; seminars on current problems. Restricted to Honours students in Biology. Not to be taken concurrently with BIOL 449. [2-3-0],Principles and Methodology in Biological Research
biol-348,BIOL 348,"Biological aspects of cannabis, including structure and function, photosynthesis, plant growth, specialized metabolites, neuroscience and the human endocannabinoid system, and applications for human use in medicine, consumer products and textiles. [3-0-0] Prerequisite: A minimum of 3rd year standing.",Biology of Cannabis
biol-350,BIOL 350,"Using the Darwinian theory of natural selection to explore explanations of infectious diseases, allergies, cancer, mental illness, and other human diseases. [2-0-2] Prerequisite: Third-year standing. Equivalency: ISCI 350",Darwinian Medicine
biol-351,BIOL 351,"Mechanisms and regulation of functional processes contributing to the assimilation, transport and utilization of water, mineral nutrients and carbon by plants. Restricted to Majors and Honours students in Biology. [3-3-0] Prerequisite: Either (a) BIOL 121 and one of CHEM 123, CHEM 130; or (b) SCIE 001. CHEM 233 is recommended. Equivalency: APBI351, FRST311",Plant Physiology I
biol-352,BIOL 352,"Introduction to the processes involved in growth and development: cell division, tissue culture, meristems, differentiation, and the action of major growth regulators, and photomorphogenesis. Emphasis on experimental approaches. [2-3-1] Prerequisite: Either (a) BIOL 200 and one of BIOL 233, BIOL 234; or (b) FRST 302. CHEM 233 is recommended.",Plant Physiology II: Plant Development
biol-361,BIOL 361,"Excitable membranes, neural signaling and transmission; transduction and coding of sensory information; muscle contraction. [3-0-0] Prerequisite: BIOL 200.",Neural and Muscular Physiology
biol-362,BIOL 362,"The cytoskeleton, cell dynamics, and regulation of cellular activities. Preference will be given to Majors or Honours students in Biology and Combined Honours Biophysics. [3-0-0] Prerequisite: BIOL 200 and one of APBI 312, APBI 351, BIOL 260, BIOL 351, BIOL 352, BIOL 361, FRST 311.",Cellular Dynamics
biol-363,BIOL 363,"Experimental studies in animal physiology. Restricted to Majors and Honours students in Biology, Nutritional Sciences and Combined Honours Biophysics. Recommended co-requisites: one of BIOL 361, BIOL 370, BIOL 371. [1-3-1] Prerequisite: BIOL 204.",Laboratory in Animal Physiology
biol-364,BIOL 364,"Cardiovascular, respiratory, and osmoregulatory physiology. Preference will be given to students in Biology, Nutritional Sciences, and Combined Honours Biophysics. [3-0-0] Prerequisite: BIOL 204 and one of BIOL 260, BIOL 361. Equivalency: APBI 311","Comparative Cardiovascular, Respiratory and Osmoregulatory Physiology"
biol-370,BIOL 370,"Introduction to the structure and function of the muscular system, metabolism and energetics from a comparative perspective across vertebrates and invertebrates. [3-0-0] Prerequisite: BIOL 260 and one of BIOL 200, BIOL 201, BIOC 202, BIOC 203.",Principles of Muscle Physiology and Energetics
biol-371,BIOL 371,"Introduction to the structure and function of the nervous system, excitable membranes, and synaptic signaling using representative vertebrate and invertebrate species. [3-0-0] Prerequisite: BIOL 200 and one of BIOL 260, NSCI 200, PSYC 270, PSYC 271, PSYC 304, CAPS 301.",Principles of Neurobiology I
biol-372,BIOL 372,"Examination of the neural systems underlying sensation, action, and complex behaviours using representative vertebrate and invertebrate species. [3-0-0] Prerequisite: BIOL 371.",Principles of Neurobiology II
biol-401,BIOL 401,"Evolution as a dynamical system based on ecological interactions. Adaptive dynamics and evolutionary game theory. Credit will be granted for only one of BIOL 401 or BIOL 560. [3-0-0] Prerequisite: BIOL 301 and one of MATH 101, MATH 103, MATH 105, MATH 121. Not eligible for Credit/D/Fail grading.",Theory of Evolutionary Dynamics
biol-402,BIOL 402,"Theoretical and applied limnology; ecology of inland water organisms in relation to physical, chemical and biological factors. One weekend field trip required. [2-4-0] Prerequisite: BIOL 230 and one of BIOL 300, STAT 200.",Aquatic Ecology
biol-403,BIOL 403,"Theoretical and applied ecology of microbes. Focus on microbial symbionts of animals, plants and seaweeds. Research project development through critical analysis of microbial ecological literature and computational analysis of ecological data. [2-3-0] Prerequisite: One of BIOL 121, SCIE 001, BIOL 230 and one of BIOL 300, FRST 231, STAT 200. Fourth-year standing. Not eligible for Credit/D/Fail grading.",Microbial Ecology
biol-404,BIOL 404,"Design, execution, and analysis of ecological surveys and experiments. Practical field methods for estimating population metrics and describing community structure. Computer techniques for the statistical analysis of ecological data. [2-4-0] Prerequisite: BIOL 230 and one of BIOL 300, STAT 200.",Ecological Methodology
biol-406,BIOL 406,"Plant community ecology including a consideration of the major approaches to sampling, analyzing and interpreting vegetation patterns. Instruction given in field work and computer analysis of field data. [3-3-0] Prerequisite: BIOL 230. BIOL 324 is recommended.",Plant Ecology I
biol-408,BIOL 408,"Principles of animal and community ecology applicable to the management of animal resources; application of statistical and computer techniques for measuring, analyzing, modelling, and simulating resource systems; problems of multiple resource use. [2-2-0] Prerequisite: BIOL 300",Principles of Applied Ecology
biol-409,BIOL 409,"A two-week intensive course in field methods used in ecology. Fieldwork for this course is normally in the summer. A fee will be assessed for living and traveling expenses. Pre-registration required. Prerequisite: BIOL 230 and one of BIOL 300, STAT 200. BIOL 306 is recommended.",Field Course in Ecology
biol-410,BIOL 410,Lectures and seminar discussions on selected topics in animal behaviour. [2-0-2] Prerequisite: BIOL 310,Current Topics in Animal Behaviour
biol-411,BIOL 411,"Behavioural, population and community ecology of insects. Interactions between insects and plants and the application of the principles of insect ecology to biological control of insects and weeds. [3-0-0] Prerequisite: One of BIOL 205, BIOL 327, APBI 327. Equivalency: APBI 427",Insect Ecology
biol-412,BIOL 412,"Description and interpretation of present and past floristic vegetational patterns; integration of evolutionary, ecological, and phytogeographical concepts. Terrestrial and aquatic plants are considered. Restricted to students of third and fourth years. [3-0-0] Prerequisite: BIOL 121",Phytogeography
biol-413,BIOL 413,"The role of physical, ecological, and evolutionary processes in determining the geographic distribution of animals including humans, with implications for speciation and conservation. Restricted to students in third and fourth year. [3-0-0] Prerequisite: BIOL 121",Zoogeography
biol-415,BIOL 415,"Experimental and comparative analysis of evolutionary processes, speciation, and phylogenetic patterns in plants. [2-0-0] Prerequisite: BIOL 336.",Evolutionary Processes in Plants
biol-416,BIOL 416,"Ecological basis of conserving biological diversity and ecosystem services; application of ecological theory to global and local conservation problems in the context of economic, legal, political, and social perspectives. [2-0-2] Prerequisite: One of BIOL 230, FRST 201.",Principles of Conservation Biology
biol-417,BIOL 417,"Biodiversity from an evolutionary perspective. The evolutionary (phylogenetic) tree of genetic descent that links all organisms: its reconstruction, interpretation, and implications for fields from ecology to molecular biology. [2-0-2] Prerequisite: BIOL 200 and one of BIOL 233, BIOL 234. BIOL 336 is recommended.",Phylogenetic Biology
